State,poll
Arizona,-5.47338235568
California,19.9664750649
Colorado,2.70582862386
Connecticut,8.98092251576
Florida,2.17096302191
Georgia,-8.79052658316
Hawaii,18.6970465167
Illinois,15.5789784841
Indiana,-7.36662226941
Iowa,2.02234485831
Kansas,-9.77854656124
Maine,12.1942940297
Maryland,16.4950271772
Massachusetts,14.2424602294
Michigan,8.32254279018
Minnesota,6.8269245287
Mississippi,-8.16652344925
Missouri,-2.22766788175
Montana,-7.25170680045
Nebraska,-8.84173818768
Nevada,4.78033849449
New Hampshire,-1.52243896396
New Jersey,10.6670169688
New Mexico,9.65142194494
New York,23.4735500439
North Carolina,-0.39008891323
North Dakota,-9.34916878139
Ohio,4.16473342997
Oregon,8.65947940788
Pennsylvania,5.42298139475
Rhode Island,13.3495112334
South Carolina,-6.27767039939
South Dakota,-1.54303362486
Tennessee,-2.47362790033
Texas,-2.29550733867
Utah,-29.181185755
Vermont,15.0056796275
Virginia,2.44301244125
Washington,12.3462816771
West Virginia,-8.71977421619
Wisconsin,4.50963521112
