,Unnamed: 0,Forecaster,Institution,gdp_q3_2012,gdp_q4_2012
0,0,Paul Ashworth,Capital Economics,2.0,1.5
1,1,Nariman Behravesh,IHS Global Insight,1.5,1.6
2,2,Richard Berner/ David Greenlaw *,Morgan Stanley,,
3,3,Ram Bhagavatula,Combinatorics Capital,2.0,4.0
4,4,Beth Ann Bovino *,Standard and Poor's,,
5,5,Jay Brinkmann,Mortgage Bankers Association,1.8,1.9
6,6,Michael Carey,Credit Agricole CIB,1.7,1.6
7,7,Joseph Carson,AllianceBernstein,2.5,3.5
8,8,Julia Coronado,BNP Paribas,1.4,1.6
9,9,Mike Cosgrove,Econoclast,1.6,1.6
10,10,Lou Crandall,Wrightson ICAP,1.8,1.8
11,11,J. Dewey Daane,Vanderbilt University,1.5,1.5
12,12,Douglas Duncan,Fannie Mae,1.8,1.7
13,13,Robert Dye,Comerica Bank,2.5,2.2
14,14,Maria Fiorini Ramirez/Joshua Shapiro,"MFR, Inc.",1.4,1.2
15,15,Ethan Harris,Bank of America Securities- Merrill Lynch,1.3,1.0
16,16,Maury Harris,UBS,1.5,1.8
17,17,Jan Hatzius,"Goldman, Sachs & Co.",2.3,1.5
18,18,Tracy Herrick,Avidbank,1.8,1.8
19,19,Stuart Hoffman *,PNC Financial Services Group,,
20,20,Gene Huang,FedEx Corp.,1.9,1.7
21,21,William B. Hummer,Wintrust Wealth Management,1.7,1.9
22,22,Bruce Kasman,JP Morgan Chase & Co.,1.5,2.0
23,23,Joseph LaVorgna,Deutsche Bank Securities Inc.,2.7,2.8
24,24,Edward Leamer/David Shulman,UCLA Anderson Forecast,1.3,1.5
25,25,Don Leavens/Tim Gill,NEMA Business Information Services,1.7,1.7
26,26,John Lonski,Moody's Investors Service,1.5,1.3
27,27,Dean Maki,Barclays Capital,2.0,2.5
28,28,Aneta Markowska *,Societe Generale,,
29,29,Jim Meil/Arun Raha,Eaton Corp.,1.2,2.1
30,30,Mark Nielson,MacroEcon Global Advisors,2.2,2.8
31,31,Michael P. Niemira,International Council of Shopping Centers,2.3,2.2
32,32,Jim O'Sullivan,High Frequency Economics,2.5,2.0
33,33,Nicholas S. Perna,Perna Associates,2.2,1.5
34,34,Dr. Joel Prakken/ Chris Varvares,Macroeconomic Advisers,1.5,1.4
35,35,David Resler,Nomura Securities International,1.9,1.7
36,36,John Ryding/Conrad DeQuadros,RDQ Economics,2.1,2.4
37,37,John Silvia,Wells Fargo & Co.,1.6,1.7
38,38,Allen Sinai,"Decision Economics, Inc.",2.1,2.7
39,39,James F. Smith,Parsec Financial Management,3.8,4.8
40,40,Sean M. Snaith,University of Central Florida,1.7,1.9
41,41,Sung Won Sohn,California State University,1.8,1.7
42,42,Neal Soss,CSFB,1.5,2.2
43,43,Stephen Stanley,Pierpont Securities,1.0,2.1
44,44,Susan M. Sterne,Economic Analysis Associates Inc.,2.2,1.9
45,45,Diane Swonk,Mesirow Financial,1.3,1.5
46,46,Carl Tannenbaum ,The Northern Trust,1.7,2.0
47,47,Bart van Ark,The Conference Board,1.6,1.6
48,48,Brian S. Wesbury/ Robert Stein,"First Trust Advisors, L.P.",2.5,3.0
49,49,William T. Wilson,Skolkovo Institute for Emerging Market Studies,1.9,2.2
50,50,Lawrence Yun,National Association of Realtors,1.7,2.1
